operator,direct_L16_value,direct_L16_error,blocked_L32_to_L16_value,blocked_L32_to_L16_error,difference,z_score,included_in_D_op,covariance_contribution
m_mean,0.024472727214569844,0.027054581779386914,0.006591608427977555,0.028155231946320174,-0.01788111878659229,-0.45793846017151424,False,
abs_m,0.8106646079549535,0.00901284175374414,0.8003798887458438,0.008693703471986461,-0.010284719209109783,-0.8213023660922648,False,
m2,0.7523670122829673,0.013350386427719919,0.711289433399991,0.01213314219151665,-0.04107757888297636,-2.2770124113082066,True,33.73989390307723
m4,0.774056109981919,0.023539907461106884,0.6445595163103686,0.017555697059243196,-0.12949659367155042,-4.409828114439129,True,-156.6992462799659
binder,0.5441817627671435,0.005985302296800415,0.5753324702845646,0.004640910331544509,0.031150707517421106,4.112976046947341,False,
susceptibility,192.45263306384604,3.4408084197565616,182.07897192917073,3.131812981155152,-10.373661134675302,-2.229610671874143,False,
xi_over_L,0.7533336639702909,0.014660319875325057,0.7659429072450745,0.01861342389880794,0.012609243274783632,0.5321803125152461,False,
phi2_density,1.5247682912705358,0.01078070077722557,1.4825613045640649,0.007498837260406901,-0.04220698670647094,-3.2139943257957624,False,
phi4_density,5.1484819410008535,0.056030424774451644,4.673734370933843,0.03706677440785808,-0.4747475700670103,-7.066641159707997,False,
nn,1.090202552488837,0.011483278555368176,1.0428280078252572,0.008107128299161303,-0.04737454466357982,-3.370243131151738,True,-83.92335336722905
diag,0.98019121718827,0.011556814014561692,0.9322984778746447,0.00860060390182773,-0.047892739313625254,-3.324519477401315,True,-54.78371461706563
2nn,0.9174210663854216,0.012046370225308495,0.8662725517320482,0.009210652564989581,-0.051148514653373445,-3.3729913505610507,True,8.03852840611389
nn2,1.3287276350258772,0.027092608858064422,1.1559184165175485,0.01763755471818063,-0.17280921850832875,-5.3455141089629805,True,93.96187428715766
diag2,1.1084937805465593,0.025004614180176233,0.9441038292003311,0.016832674288100022,-0.16438995134622825,-5.453761643988067,True,127.85908360887748
2nn2,0.9981378215424164,0.024736495114349374,0.8349346687941241,0.016825278390535235,-0.16320315274829222,-5.4553279555380225,True,112.0855287750751
action_density,0.39134592736372953,0.0017099154783136526,0.3918108588568622,0.0016387398053365051,0.0004649314931326476,0.196306843768451,True,-0.148687934963442
