start_label,success,message,nfev,nit,final_fun,w00,w10,w11,w20,w21,w22,D_op,local_rms_z,ir_rms_z,condition_number_C,condition_number_Creg
identity,False,Maximum number of function evaluations has been exceeded.,220,4,211.81642071100595,0.6606294999531246,0.08644391281112693,0.0008707063458686463,0.0020681114288356736,-0.0005920754453776526,-0.003355954683357083,211.81642071100595,3.867454774322693,,240618.13268211152,8485.429300220307
lambda1_5x5_etafit,False,Maximum number of function evaluations has been exceeded.,220,4,131.1102767617743,0.7440671665270083,-0.0050927939394346915,0.052423539044210245,0.0018912847635086409,0.019490700634717025,-0.024220222769470334,131.1102767617743,4.069174859407586,,186627.51747616252,8401.354795202566
smooth_positive,False,Maximum number of function evaluations has been exceeded.,220,4,126.971664148088,0.7471566645041443,-0.0006066292420755224,0.041330363276274325,0.0018949430271333445,0.023037878221064317,-0.025483599629496853,126.971664148088,4.06585825552375,,182242.95960063094,8392.266270774959
edge_heavy,False,Maximum number of function evaluations has been exceeded.,220,4,209.89890644017555,0.6622640179178644,0.08923125996062908,-0.006265783151155933,0.000595955475117826,0.002074421704187965,-0.0032762801724329853,209.89890644017555,3.8405306354929176,,238746.62579344,8483.402696056912
broad_mild,False,Maximum number of function evaluations has been exceeded.,220,4,124.29120782621365,0.7591184739130954,-0.009137317999806051,0.040759677678998914,0.005710088193943682,0.023721454013173462,-0.024554974377757298,124.29120782621365,4.063017028693807,,178998.4021673314,8384.386819238922
random_1,False,Maximum number of function evaluations has been exceeded.,220,4,293.6421561682505,0.5156058028458821,0.18648608509396167,-0.03941725951009353,-0.02587729239916288,-0.0011605003700568297,0.002228016843937873,293.6421561682505,3.7450312062060607,,300131.75072695466,8554.56718383337
random_2,False,Maximum number of function evaluations has been exceeded.,220,4,261.8048558852521,0.6274820199150641,0.11964843282550428,-0.021443205544229783,0.01260156014573185,-0.015980220211979233,0.014283148018186084,261.8048558852521,3.690570549247101,,267845.4915788999,8512.217944223845
random_3,False,Maximum number of function evaluations has been exceeded.,220,4,264.6839149540826,0.549842620943856,0.1483671043537913,0.0035772247118808095,-0.018573380795334386,-0.011378192677755725,0.0019247818492097286,264.6839149540826,3.891752765849584,,297253.7631391815,8549.196681835383
random_4,False,Maximum number of function evaluations has been exceeded.,220,4,317.54528712478947,0.45018096090416004,0.21844122952111533,-0.041387514711668946,-0.027078997772451846,-0.0136372319347315,0.014754506606428458,317.54528712478947,3.776062780852165,,315015.2957492666,8567.199226777037
random_5,False,Maximum number of function evaluations has been exceeded.,220,4,110.71776668271363,0.8413760658101683,-0.04608057817575256,-0.014530493999777745,0.040431789165677294,0.035554773988093584,-0.011274281418876275,110.71776668271363,3.791802966745145,,164142.150823914,8340.899508095523
random_6,False,Maximum number of function evaluations has been exceeded.,220,4,141.80210515650236,0.7076255941410627,0.04649786268848168,0.010536857972360683,-0.005576863295448279,0.02149046061738374,-0.021345177135427242,141.80210515650236,3.9915673658630966,,199755.29821744966,8427.66352996183
random_7,False,Maximum number of function evaluations has been exceeded.,220,4,189.3793001433026,0.7065183018206782,0.038369347198915625,0.034441815807603096,0.007096724051552653,0.0006395458346494095,-0.007816554182539777,189.3793001433026,3.920244922339984,,220131.05360316785,8456.433449135331
random_8,False,Maximum number of function evaluations has been exceeded.,220,4,180.20815272230777,0.8495463204860674,-0.11465709813124642,0.0877309846687212,0.0443188847285177,0.01065018482931609,-0.001079721046141515,180.20815272230777,3.7977900862030376,,173743.09335773837,8364.997810486773
