item_type,old_path,proposed_new_path,lambda,kappa,L,description,action
native_config,data/configs_phi4_2d/lam0p5_kappac0p343469_L8/configs.npz,data/configs_phi4_2d/lam0p5_kappac0p343469_L8/configs.npz,0.5,0.343469,8,"canonical lambda=0.5 L8 native ensemble, 5000 configs",reference
native_config,data/configs_phi4_2d/lam0p5_kappac0p343469_L16/configs.npz,data/configs_phi4_2d/lam0p5_kappac0p343469_L16/configs.npz,0.5,0.343469,16,"canonical lambda=0.5 L16 native ensemble, 5000 configs",reference
native_config,data/configs_phi4_2d/lam0p5_kappac0p343469_L32/configs.npz,data/configs_phi4_2d/lam0p5_kappac0p343469_L32/configs.npz,0.5,0.343469,32,"canonical lambda=0.5 L32 native ensemble, 5000 configs",reference
kernel_candidate,perfect_blocking_upsampling/outputs/lam0p5_5x5_kernel_search/kernel_candidates/best_lam0p5_5x5_kernel.json,perfect_blocking/perfect_blocking_lam0p5/kernels/candidates/best_lam0p5_5x5_kernel_base.json,0.5,0.3426,,best existing 5x5 base-normalized candidate from lambda=0.5 search,copy_reference
kernel_candidate,perfect_blocking_upsampling/outputs/lam0p5_5x5_kernel_search/configs/rand5x5_0084_kernel.json,perfect_blocking/perfect_blocking_lam0p5/kernels/candidates/rand5x5_0084_kernel_base.json,0.5,,,rand5x5_0084 baseline evaluated in lambda=0.5 search,copy_reference
kernel_candidate,perfect_blocking_upsampling/outputs/lam0p5_5x5_kernel_search/configs/small3_lam0p5_kappa0p3426_eta0p25.json,perfect_blocking/perfect_blocking_lam0p5/kernels/candidates/small3_lam0p5_kappa0p3426_eta0p25_base.json,0.5,0.3426,,"historical small3 lambda=0.5 candidate, not final",copy_reference
kernel_diagnostics,perfect_blocking_upsampling/outputs/lam0p5_5x5_kernel_search/diagnostics/lam0p5_5x5_kernel_search_candidates.csv,,0.5,,,candidate ranking and objective diagnostics,reference
kernel_report,perfect_blocking_upsampling/outputs/lam0p5_5x5_kernel_search/reports/LAM0P5_5X5_KERNEL_SEARCH_REPORT.md,,0.5,,,5x5 search report,reference
histogram_report,perfect_blocking_upsampling/outputs/lam0p5_5x5_kernel_search/histogram_comparisons/LAM0P5_BLOCKED_VS_DIRECT_HISTOGRAM_REPORT.md,,0.5,0.3426,8/16,previous best-kernel blocked-vs-direct histogram report,reference
final_kernel,perfect_blocking/perfect_blocking_lam0p5/kernels/final/chosen_kernel.json,perfect_blocking/perfect_blocking_lam0p5/kernels/final/chosen_kernel.json,0.5,0.343469,,eta-included promoted final kernel,create
