L,ensemble,sweep,N,U4,U4_se,xi_over_L,xi_over_L_se,chi_connected,chi_se
16,direct native,--,5000,0.6051456376009784,0.0015157343477602,0.8834946714952032,0.010008171948,109.28912198654632,0.6384991416252139
32,direct native,--,10000,0.6080846348599758,0.001077813894135,0.8917598192238816,0.0074267639737056,366.8182845631099,1.4603396429430473
32,upscaled + HMC,0,1500,0.6064000484678403,0.00267370628836656,0.8720100725041274,0.018437347741137592,366.15451086681253,3.88670046258722
32,upscaled + HMC,100,1500,0.6068348053883875,0.0029448019025974,0.882512278088272,0.0204267849784832,363.4475590719625,4.0661936218576775
32,upscaled + HMC,20,1500,0.6053725282375142,0.0029264915959987,0.8753874359900832,0.0194390749915328,364.4898401328443,3.923113099691373
64,direct native,--,5000,0.607446502286265,0.0015317879093741,0.8807268919716928,0.0105115897902848,1220.0013762560363,7.185078887279665
64,upscaled + HMC,0,1500,0.6070383352040485,0.0029501204623351785,0.8809392188028947,0.020342051742571966,1229.9623909353345,13.932328942786668
64,upscaled + HMC,100,1500,0.611242419738252,0.0027604340453503,0.9054127522912,0.0206705141983552,1243.8352749753162,13.624459736559167
64,upscaled + HMC,20,1500,0.6083144685140597,0.0027751443012046,0.8869239915565312,0.0192148979554624,1221.5070403264883,12.952405935977527
128,direct native,--,5000,0.6082381253509563,0.00157288907504,0.8879856823131648,0.0107845559227069,4127.100141963993,24.780260163173207
128,upscaled + HMC,0,1500,0.6113437643843274,0.0026796980797974615,0.9056298885973848,0.019756440696845737,4207.34387779697,43.619472196704685
128,upscaled + HMC,100,1500,0.6114316788644428,0.0027579778331187,0.89422413750944,0.0201429538379392,4144.109381441025,43.75191179959956
128,upscaled + HMC,20,1500,0.6108223232693544,0.0026404526605223,0.9040624159406976,0.0195621719728896,4161.122615795224,42.69498449059096
256,upscaled + HMC,0,1500,0.6114608770469526,0.0026447009053028703,0.8934870611102691,0.020236448648241617,14028.742402266698,149.0648342759555
256,upscaled + HMC,100,1500,0.6110525323467504,0.0026212581043662,0.9018502038081792,0.0200869703227455,13925.012584225917,140.6299262002321
256,upscaled + HMC,20,1500,0.6109318365350986,0.0026398131153151,0.8948103020050432,0.0203731937093226,13861.062296939572,146.1875973229995
512,upscaled + HMC,0,750,0.6108958677820779,0.0038130252468946205,0.9088560609269689,0.028834912372405888,47313.22769610398,715.7615160628669
512,upscaled + HMC,100,750,0.6106065142720083,0.003955586460956,0.911547000224768,0.0291815994451796,46865.39664332927,721.7038829360334
512,upscaled + HMC,20,750,0.6103150494991394,0.0037918604333494,0.9095336632339968,0.0289849902203495,46669.53361800528,719.2330982940348
