operator,ensemble,mean,bootstrap_se,n_configs,ks_vs_direct,std_ratio_vs_direct
action_density,direct L32,-0.5545391886945961,0.0005282579619919,10000,,
phi2,direct L32,0.830895965581535,0.0003326378218258,10000,,
phi4,direct L32,1.0548743233116205,0.0006495786944911,10000,,
local_kurtosis_ratio,direct L32,1.5279069033365955,0.0003793898590516,10000,,
NN,direct L32,1.1438660868241413,0.0010998542419322,10000,,
2nn,direct L32,0.96461842758994,0.0014961692318005,10000,,
diag,direct L32,0.514174562891365,0.0006630185785136,10000,,
m2,direct L32,0.3582382575075044,0.0015959074441226,10000,,
m4,direct L32,0.1508889626358264,0.0010171695276794,10000,,
G_pmin_avg,direct L32,11.35874552009215,0.1574543965143569,10000,,
action_density,L64 blocked to L32,-0.5550174117088318,0.0006240178171552,5000,0.0416,0.8734332147771545
phi2,L64 blocked to L32,0.8334628939628601,0.0004617987077014,5000,0.043,1.0538624764378537
phi4,L64 blocked to L32,1.0520585775375366,0.0009237625322211,5000,0.0393,1.084731299698848
local_kurtosis_ratio,L64 blocked to L32,1.514114499092102,0.0004651716301987,5000,0.1616,0.9033278192453392
NN,L64 blocked to L32,1.1366597414016724,0.0014361803895889,5000,0.0337,0.988774892881366
2nn,L64 blocked to L32,0.9561941623687744,0.0019103213707369,5000,0.0332,0.9775228284175848
diag,L64 blocked to L32,0.5126968026161194,0.00083528252817,5000,0.0253,0.9620481059856136
m2,L64 blocked to L32,0.3539932668209076,0.0020967295935569,5000,0.0193,0.9985183057250896
m4,L64 blocked to L32,0.1477966010570526,0.0012992238002547,5000,0.0193,0.9863191383565092
G_pmin_avg,L64 blocked to L32,11.632068634033203,0.2145884983852942,5000,0.0173,1.0107943317716617
