operator,ensemble,mean,bootstrap_se,n_configs,ks_vs_direct,std_ratio_vs_direct
action_density,direct L16,-0.5641246524668587,0.0012929616139274638,5000,,
phi2,direct L16,0.8361260920152377,0.0008780656027262802,5000,,
phi4,direct L16,1.06412104255837,0.0017050563534521438,5000,,
local_kurtosis_ratio,direct L16,1.5220234021956642,0.0010158780612625922,5000,,
NN,direct L16,1.1638514183178865,0.0027090831511260792,5000,,
2nn,direct L16,0.9944914604438049,0.0035035976586501928,5000,,
diag,direct L16,0.5266626010223789,0.0015825807072175106,5000,,
m2,direct L16,0.4269254708004637,0.0025567313383560632,5000,,
m4,direct L16,0.21590481470929013,0.0019685230605222086,5000,,
G_pmin_avg,direct L16,3.478174187162124,0.06036444782872073,5000,,
action_density,L32 blocked to L16,-0.5638430118560791,0.0008012307870795775,10000,0.0356,0.8824319244114678
phi2,L32 blocked to L16,0.8393615484237671,0.0006461913857797048,10000,0.0378,1.0562493649276257
phi4,L32 blocked to L16,1.0638415813446045,0.0013261508688536497,10000,0.0296,1.0955588235006553
local_kurtosis_ratio,L32 blocked to L16,1.5085638761520386,0.0006159042366003877,10000,0.0865,0.9054948950106113
NN,L32 blocked to L16,1.1582765579223633,0.0019226540642079376,10000,0.0174,0.9986017685447833
2nn,L32 blocked to L16,0.9884909987449646,0.0025162494984745593,10000,0.0201,0.9859773829422087
diag,L32 blocked to L16,0.5255614519119263,0.0011074148378369135,10000,0.0134,0.9766666605531398
m2,L32 blocked to L16,0.42668455839157104,0.0018586665639067428,10000,0.0118,0.9896306512925608
m4,L32 blocked to L16,0.21500913798809052,0.0014348974844147987,10000,0.0118,0.9888121229938667
G_pmin_avg,L32 blocked to L16,3.4783878326416016,0.04542963061503481,10000,0.0168,1.0298026131695677
action_density,direct L32,-0.5545391886945961,0.000528257961991999,10000,,
phi2,direct L32,0.830895965581535,0.0003326378218258681,10000,,
phi4,direct L32,1.0548743233116205,0.0006495786944911994,10000,,
local_kurtosis_ratio,direct L32,1.5279069033365955,0.0003793898590516297,10000,,
NN,direct L32,1.1438660868241413,0.001099854241932206,10000,,
2nn,direct L32,0.9646184275899399,0.0014961692318005836,10000,,
diag,direct L32,0.514174562891365,0.0006630185785136549,10000,,
m2,direct L32,0.35823825750750443,0.0015959074441226867,10000,,
m4,direct L32,0.15088896263582646,0.0010171695276794993,10000,,
G_pmin_avg,direct L32,11.35874552009215,0.15745439651435694,10000,,
action_density,L64 blocked to L32,-0.5550174117088318,0.0006240178171552171,5000,0.0416,0.8734332147771545
phi2,L64 blocked to L32,0.8334628939628601,0.00046179870770146484,5000,0.043,1.0538624764378535
phi4,L64 blocked to L32,1.0520585775375366,0.0009237625322211373,5000,0.0393,1.0847312996988479
local_kurtosis_ratio,L64 blocked to L32,1.514114499092102,0.0004651716301987683,5000,0.1616,0.9033278192453392
NN,L64 blocked to L32,1.1366597414016724,0.0014361803895889492,5000,0.0337,0.9887748928813661
2nn,L64 blocked to L32,0.9561941623687744,0.0019103213707369411,5000,0.0332,0.9775228284175849
diag,L64 blocked to L32,0.5126968026161194,0.0008352825281700214,5000,0.0253,0.9620481059856136
m2,L64 blocked to L32,0.3539932668209076,0.002096729593556966,5000,0.0193,0.9985183057250897
m4,L64 blocked to L32,0.1477966010570526,0.001299223800254718,5000,0.0193,0.9863191383565092
G_pmin_avg,L64 blocked to L32,11.632068634033203,0.21458849838529426,5000,0.0173,1.0107943317716617
