lambda,kappa_cr,kappa_cr_method,binder_crossing_min,binder_crossing_max,binder_crossing_count,binder_u4_L16_at_kappa_cr,binder_u4_L24_at_kappa_cr,binder_u4_L32_at_kappa_cr,chi_abs_peak_kappa_L16,chi_abs_peak_kappa_L24,chi_abs_peak_kappa_L32,chi_abs_peak_value_L16,chi_abs_peak_value_L24,chi_abs_peak_value_L32,source_kind,source_summary,source_curves
0.010000,0.261115,linear_binder_mean,0.260515,0.261565,7,0.515663,0.520531,0.511079,0.260791,0.260894,0.260986,31.434888,53.186120,86.580641,chi_binder,2026-06-09-phase-diagram-lambda-0p01/outputs/phi4_lambda001_l16_l24_l32_chi_binder.json,2026-06-09-phase-diagram-lambda-0p01/outputs/phi4_lambda001_cluster_l16_l24_l32_refined_curves.csv
0.010000,0.261115,linear_binder_mean,0.260515,0.261565,7,0.515663,0.520531,0.511079,0.260791,0.260894,0.260986,31.434888,53.186120,86.580641,chi_binder,2026-06-10-phase-diagram-lambda-0p01/outputs/phi4_lambda001_l16_l24_l32_chi_binder.json,2026-06-10-phase-diagram-lambda-0p01/outputs/phi4_lambda001_cluster_l16_l24_l32_refined_curves.csv
0.022000,0.270500,chi_abs_peak_1_over_L_extrapolation,,,0,,,,0.268500,,0.269500,24.222653,,76.508318,raw_cluster_samples,perfect_blocking_multilevel/results/samples/phi4_cluster_L16_k0.267500_lam0.022000_n2048_seed1241.json;perfect_blocking_multilevel/results/samples/phi4_cluster_L16_k0.268331_lam0.022000_n2048_seed1238.json;perfect_blocking_multilevel/results/samples/phi4_cluster_L16_k0.268500_lam0.022000_n2048_seed1235.json;perfect_blocking_multilevel/results/samples/phi4_cluster_L16_k0.269400_lam0.022000_n2048_seed1237.json;perfect_blocking_multilevel/results/samples/phi4_cluster_L32_k0.269000_lam0.022000_n2048_seed1240.json;perfect_blocking_multilevel/results/samples/phi4_cluster_L32_k0.269500_lam0.022000_n2048_seed1236.json,
0.100000,0.302724,linear_binder_mean,0.302465,0.303344,4,0.584987,0.588265,0.595739,0.299049,0.300012,0.300269,16.557008,31.506587,45.338860,chi_binder,2026-06-09-phase-diagram-lambda-0p1-2/outputs/phi4_lambda01_l16_l24_l32_chi_binder.json,2026-06-09-phase-diagram-lambda-0p1-2/outputs/phi4_lambda01_cluster_l16_l24_l32_refined_curves.csv
0.100000,0.302724,linear_binder_mean,0.302465,0.303344,4,0.584987,0.588265,0.595739,0.299049,0.300012,0.300269,16.557008,31.506587,45.338860,chi_binder,2026-06-09-phase-diagram-lambda-0p1/outputs/phi4_lambda01_l16_l24_l32_chi_binder.json,2026-06-09-phase-diagram-lambda-0p1/outputs/phi4_lambda01_cluster_l16_l24_l32_refined_curves.csv
0.500000,0.342570,linear_binder_mean,0.341952,0.343278,3,0.595082,0.597036,0.594390,0.334227,0.337025,0.338434,11.793870,23.929414,39.782169,chi_binder,2026-06-09-phase-diagram-lambda-0p5-2/outputs/phi4_lambda05_l16_l24_l32_chi_binder.json,2026-06-09-phase-diagram-lambda-0p5-2/outputs/phi4_lambda05_cluster_l16_l24_l32_refined_curves.csv
0.500000,0.342570,linear_binder_mean,0.341952,0.343278,3,0.595082,0.597036,0.594390,0.334227,0.337025,0.338434,11.793870,23.929414,39.782169,chi_binder,2026-06-09-phase-diagram-lambda-0p5/outputs/phi4_lambda05_l16_l24_l32_chi_binder.json,2026-06-09-phase-diagram-lambda-0p5/outputs/phi4_lambda05_cluster_l16_l24_l32_refined_curves.csv
0.500000,0.326873,direct_L16_L32_binder_crossing,,,0,0.368908,,0.160850,0.337641,,0.339643,9.160445,,19.131932,scan_summary,runs/lambda0p5_L16_L32_basic/outputs/phi4_lambda05_L16_L32_broad.json,runs/lambda0p5_L16_L32_basic/outputs/phi4_lambda05_L16_L32_broad.csv
0.500000,0.342403,direct_L16_L32_binder_crossing,,,0,0.591720,,0.591192,0.334334,,0.338374,11.847826,,39.562758,scan_summary,runs/lambda0p5_L16_L32_basic/outputs/phi4_lambda05_L16_L32_refined.json,runs/lambda0p5_L16_L32_basic/outputs/phi4_lambda05_L16_L32_refined.csv
1.000000,0.339628,linear_binder_mean,0.338497,0.340935,5,0.600951,0.603252,0.601444,0.328537,0.332351,0.334460,11.246546,22.514601,37.219128,chi_binder,2026-06-09-phase-diagram-lambda-1-2/outputs/phi4_lambda1_l16_l24_l32_chi_binder.json,2026-06-09-phase-diagram-lambda-1-2/outputs/phi4_lambda1_cluster_l16_l24_l32_refined_curves.csv
1.000000,0.339628,linear_binder_mean,0.338497,0.340935,5,0.600951,0.603252,0.601444,0.328537,0.332351,0.334460,11.246546,22.514601,37.219128,chi_binder,2026-06-09-phase-diagram-lambda-1/outputs/phi4_lambda1_l16_l24_l32_chi_binder.json,2026-06-09-phase-diagram-lambda-1/outputs/phi4_lambda1_cluster_l16_l24_l32_refined_curves.csv
