run_id,algorithm,lambda,coarse_L,fine_L,kappa_c,kappa_f,n_chains,replica,flow,integrator_or_update,sweeps_completed,acceptance,path,completion_state,run_status,notes
HMC-L64-001,HMC,1.0,32,64,0.340100,0.340301,1500,r1,Ethan-7x7,global tau=2 n=36 eps=2/36,500,0.835140,perfect_blocking_upsampling/outputs/fine_hmc_lam1p0/global/L32k0p340100_toL64_ethan7_sweep0_kf0p340301_N1500_S100_tau2_n36_eps2over36_r1,completed,diagnostic,Independent source replica; combine with HMC-L64-002 only at matching sweeps.
HMC-L64-002,HMC,1.0,32,64,0.340100,0.340301,1500,r2,Ethan-7x7,global tau=2 n=36 eps=2/36,500,0.836599,perfect_blocking_upsampling/outputs/fine_hmc_lam1p0/global/L32k0p340100_r2_toL64_ethan7_sweep0_kf0p340301_N1500_S100_tau2_n36_eps2over36_r1,completed,diagnostic,Independent source replica; combine with HMC-L64-001 only at matching sweeps.
HMC-L64-003,HMC,1.0,32,64,0.340100,0.340200,3000,r1,Ethan-7x7,global tau=2 n=36 eps=2/36,500,0.836381,perfect_blocking_upsampling/outputs/fine_hmc_lam1p0/global/L32k0p340100_replicas_N3000_toL64_ethan7_sweep0_kf0p340200_S500_tau2_n36_eps2over36_r1,completed,diagnostic,Combined r1+r2 sweep-zero input. Verified actual target kappa is 0.340200.
HMC-L64-004,HMC,1.0,32,64,0.340301,0.340301,1500,r1,legacy/unspecified,global tau=2 n=35 eps=2/35,100,,perfect_blocking_upsampling/outputs/fine_hmc_lam1p0/global/L32toL64_N1500_S100_full_tau2_n35_eps2over35_sweep0,completed,diagnostic,Earlier full-chain baseline; not used in the curated comparison.
HMC-L64-005,HMC,1.0,32,64,0.340301,0.340301,1500,r1,Ethan-7x7,global tau=2 n=36 eps=2/36,100,0.837160,perfect_blocking_upsampling/outputs/fine_hmc_lam1p0/global/L32toL64_ethan7_nativeL32_sweep0_kf0p340301_N1500_S100_tau2_n36_eps2over36_r1,completed,diagnostic,Lower-statistics predecessor of HMC-L64-006.
HMC-L64-006,HMC,1.0,32,64,0.340301,0.340301,5000,r1,Ethan-7x7,global tau=2 n=36 eps=2/36,500,0.836104,perfect_blocking_upsampling/outputs/fine_hmc_lam1p0/global/L32toL64_ethan7_nativeL32_sweep0_kf0p340301_N5000_S50_tau2_n36_eps2over36_r1,completed,diagnostic,Primary same-kappa HMC comparison run.
HMC-L64-007,HMC,1.0,32,64,0.340301,0.340320,5000,r1,Ethan-7x7,global tau=2 n=36 eps=2/36,50,,perfect_blocking_upsampling/outputs/fine_hmc_lam1p0/global/L32toL64_ethan7_nativeL32_sweep0_kf0p340320_N5000_S50_tau2_n36_eps2over36_r1,completed,diagnostic,Kappa scan.
HMC-L64-008,HMC,1.0,32,64,0.340301,0.340320,1500,r1,Ethan-7x7,global tau=2 n=36 eps=2/36,100,,perfect_blocking_upsampling/outputs/fine_hmc_lam1p0/global/L32toL64_ethan7_nativeL32_sweep0_kf0p34032_N1500_S100_tau2_n36_eps2over36_r1,completed,diagnostic,Kappa scan; legacy compact directory tag.
HMC-L64-009,HMC,1.0,32,64,0.340301,0.340330,5000,r1,Ethan-7x7,global tau=2 n=36 eps=2/36,50,,perfect_blocking_upsampling/outputs/fine_hmc_lam1p0/global/L32toL64_ethan7_nativeL32_sweep0_kf0p340330_N5000_S50_tau2_n36_eps2over36_r1,completed,diagnostic,Kappa scan.
HMC-L64-010,HMC,1.0,32,64,0.340301,0.340330,1500,r1,Ethan-7x7,global tau=2 n=36 eps=2/36,100,,perfect_blocking_upsampling/outputs/fine_hmc_lam1p0/global/L32toL64_ethan7_nativeL32_sweep0_kf0p34033_N1500_S100_tau2_n36_eps2over36_r1,completed,diagnostic,Kappa scan; legacy compact directory tag.
HMC-L64-011,HMC,1.0,32,64,0.340301,0.340340,5000,r1,Ethan-7x7,global tau=2 n=36 eps=2/36,500,0.835950,perfect_blocking_upsampling/outputs/fine_hmc_lam1p0/global/L32toL64_ethan7_nativeL32_sweep0_kf0p340340_N5000_S50_tau2_n36_eps2over36_r1,completed,diagnostic,Verified actual target kappa is 0.340340.
HMC-L64-012,HMC,1.0,32,64,0.340301,0.340340,1500,r1,Ethan-7x7,global tau=2 n=36 eps=2/36,100,,perfect_blocking_upsampling/outputs/fine_hmc_lam1p0/global/L32toL64_ethan7_nativeL32_sweep0_kf0p34034_N1500_S100_tau2_n36_eps2over36_r1,completed,diagnostic,Kappa scan; legacy compact directory tag.
HMC-L64-013,HMC,1.0,32,64,0.340301,0.340330,1500,r1,Ethan-7x7,global tau=2 n=36 eps=2/36,100,,perfect_blocking_upsampling/outputs/fine_hmc_lam1p0/global/L32toL64_ethan7_sweep0_kf0p34033_N1500_S100_tau2_n36_eps2over36_r1,completed,diagnostic,Earlier Ethan-7x7 source variant.
WOLFF-L64-001,Wolff+radial,1.0,32,64,0.340301,0.340301,5000,r1,Ethan-7x7,one radial sweep plus four sign clusters,100,,perfect_blocking_upsampling/outputs/wolff_rethermalization_lam1p0/L64_ethan7_nativeL32_sweep0_N5000_kc0p340301_kf0p340301_radial_wolff_fixed4_r1,completed,diagnostic,Primary same-kappa Wolff comparison run.
WOLFF-L64-002,Wolff+radial,1.0,32,64,0.340100,0.340301,3000,r1+2,Ethan-7x7,one radial sweep plus four sign clusters,100,,perfect_blocking_upsampling/outputs/wolff_rethermalization_lam1p0/L64_ethan7_L32k0p340100_replicas_N3000_sweep0_kc0p340100_kf0p340301_radial_wolff_fixed4_r1,completed,diagnostic,Combined r1+r2 sweep-zero input.
WOLFF-CASCADE-L32-001,Wolff+radial,1.0,16,32,0.340301,0.340301,1500,r1,Ethan-7x7,one radial heat-bath sweep of every site plus four embedded sign-cluster updates per configuration,100,,perfect_blocking_upsampling/outputs/cascade_wolff_lam1p0/CASCADE-WOLFF-LAM1/L16toL32_kc0p340301_kf0p340301/N1500_r1,completed,production_candidate,First cascade level; first 1500 fields of the verified fresh pure-NLL direct-native L16 Ethan-7x7 sweep-zero output.
WOLFF-CASCADE-L32-002,Wolff+radial,1.0,16,32,0.340301,0.340301,1500,r2,Ethan-7x7,one radial heat-bath sweep of every site plus four embedded sign-cluster updates per configuration,100,,perfect_blocking_upsampling/outputs/cascade_wolff_lam1p0/CASCADE-WOLFF-LAM1/L16toL32_kc0p340301_kf0p340301/N1500_r2,completed,production_candidate,Independent first-level branch: native L16 and matching precomputed Ethan-flow indices 1500--2999; completed 100 Wolff+radial sweeps.
