analysis_id,run_ids,sweep,n_chains,S_over_V,S_over_V_se,chi,chi_se,U4,U4_se,xi_over_L,xi_over_L_se,uncertainty_method
REF-PHI4-L32-K340301,REF-PHI4-L32-K340301,reference,10000,-0.554539,0.000501,366.818,1.551,0.608085,0.001105,0.891760,0.007739,native archived summary
CASCADE-WOLFF-LAM1-L16L32,WOLFF-CASCADE-L32-001,0,1500,-0.532651,0.001410,369.263,4.150,0.604276,0.003070,0.892620,0.020600,configuration bootstrap for chi U4 xi/L; standard error for S/V
CASCADE-WOLFF-LAM1-L16L32,WOLFF-CASCADE-L32-001,25,1500,-0.553768,0.001250,362.072,4.110,0.606709,0.002930,0.865575,0.019600,configuration bootstrap for chi U4 xi/L; standard error for S/V
CASCADE-WOLFF-LAM1-L16L32,WOLFF-CASCADE-L32-001,50,1500,-0.555493,0.001250,369.698,3.930,0.612325,0.002690,0.907828,0.020700,configuration bootstrap for chi U4 xi/L; standard error for S/V
CASCADE-WOLFF-LAM1-L16L32,WOLFF-CASCADE-L32-001,75,1500,-0.554334,0.001260,362.759,3.980,0.606950,0.002850,0.881021,0.019400,configuration bootstrap for chi U4 xi/L; standard error for S/V
CASCADE-WOLFF-LAM1-L16L32,WOLFF-CASCADE-L32-001,100,1500,-0.555816,0.001230,367.638,4.010,0.607614,0.002860,0.886443,0.019500,configuration bootstrap for chi U4 xi/L; standard error for S/V
REF-PHI4-L64-K340301,REF-PHI4-L64-K340301,reference,5000,-0.549909,0.000410,1220.000,7.900,0.607447,0.001742,0.880727,0.011204,native archived summary
CASCADE-WOLFF-LAM1-L32L64,WOLFF-CASCADE-L64-001,0,1500,-0.527771,0.000760,1244.667,13.509,0.608508,0.002796,0.887188,0.019468,configuration bootstrap for chi U4 xi/L; standard error for S/V
CASCADE-WOLFF-LAM1-L32L64,WOLFF-CASCADE-L64-001,25,1500,-0.550474,0.000692,1221.049,13.258,0.607667,0.002897,0.877682,0.020080,configuration bootstrap for chi U4 xi/L; standard error for S/V
CASCADE-WOLFF-LAM1-L32L64,WOLFF-CASCADE-L64-001,50,1500,-0.550254,0.000672,1236.995,13.008,0.611959,0.002651,0.904853,0.020240,configuration bootstrap for chi U4 xi/L; standard error for S/V
CASCADE-WOLFF-LAM1-L32L64,WOLFF-CASCADE-L64-001,75,1500,-0.550940,0.000698,1260.653,13.050,0.613539,0.002559,0.947528,0.021089,configuration bootstrap for chi U4 xi/L; standard error for S/V
CASCADE-WOLFF-LAM1-L32L64,WOLFF-CASCADE-L64-001,100,1500,-0.550034,0.000648,1229.415,13.141,0.611316,0.002797,0.896951,0.020784,configuration bootstrap for chi U4 xi/L; standard error for S/V
