method,kappa_c,kappa_f,sweep,N,observable,mean,se,uncertainty_method
Native L64,0.340301,0.340301,native,5000,action_density,-0.5499091742586578,0.0003807168933376472,"configuration bootstrap, 4000 replicates"
Native L64,0.340301,0.340301,native,5000,phi2,0.8283450462711935,0.00024180211343245058,"configuration bootstrap, 4000 replicates"
Native L64,0.340301,0.340301,native,5000,phi4,1.0500954679103205,0.0004703275812779924,"configuration bootstrap, 4000 replicates"
Native L64,0.340301,0.340301,native,5000,NN,0.5668948929754721,0.0004003511675635228,"configuration bootstrap, 4000 replicates"
Native L64,0.340301,0.340301,native,5000,2nn,0.4744377580382732,0.0005517981195381459,"configuration bootstrap, 4000 replicates"
Native L64,0.340301,0.340301,native,5000,diag,0.5077338222818104,0.0004824233938266337,"configuration bootstrap, 4000 replicates"
Native L64,0.340301,0.340301,native,5000,chi,1220.0013762560363,7.276380532230103,"configuration bootstrap, 4000 replicates"
Native L64,0.340301,0.340301,native,5000,U4,0.607446502286265,0.0015596332461541955,"configuration bootstrap, 4000 replicates"
Native L64,0.340301,0.340301,native,5000,xi_over_L,0.8807268919716937,0.010782813734403563,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,0,5000,action_density,-0.5268401626025451,0.00041514634826990177,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,0,5000,phi2,0.829876725359392,0.00022920401863288288,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,0,5000,phi4,1.0775933421003683,0.0004328140743883656,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,0,5000,NN,0.5690232906629139,0.00039520688366968305,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,0,5000,2nn,0.4784282897217423,0.000548943776849301,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,0,5000,diag,0.5131414187822815,0.0004797778133222319,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,0,5000,chi,1244.0192256780294,7.184439012197161,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,0,5000,U4,0.6099920008129911,0.0014628012327354385,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,0,5000,xi_over_L,0.8978215737823045,0.01095380638912963,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,10,5000,action_density,-0.5502614111072323,0.00037859461381446746,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,10,5000,phi2,0.828563784191187,0.00023840120480284407,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,10,5000,phi4,1.0506670006085435,0.00046499088018534635,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,10,5000,NN,0.5674128400479199,0.00039724866503484566,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,10,5000,2nn,0.4754046040857907,0.0005452843223195378,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,10,5000,diag,0.5085412422444008,0.00047829191819047633,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,10,5000,chi,1238.9018525842782,7.0856716119602,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,10,5000,U4,0.612108423211843,0.0014454735570287053,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,10,5000,xi_over_L,0.9049203092702639,0.011035313765021013,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,20,5000,action_density,-0.550067990308432,0.00037091884410935373,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,20,5000,phi2,0.8284317535953193,0.00023604017377569172,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,20,5000,phi4,1.0504533141353074,0.0004559584556637508,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,20,5000,NN,0.5672107566892397,0.0003892658177585067,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,20,5000,2nn,0.47487206854065517,0.0005397563527658191,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,20,5000,diag,0.5081034405201453,0.0004687162102678526,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,20,5000,chi,1228.7124935541256,7.107771688273632,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,20,5000,U4,0.6094599171130781,0.0015213516414515503,"configuration bootstrap, 4000 replicates"
Wolff,0.340301,0.340301,20,5000,xi_over_L,0.892410533276862,0.010865436148222569,"configuration bootstrap, 4000 replicates"
